epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,268.357,3.19431,3.01523,2.86558,0.42195,0.33517,0.31458,0.10843,2.40563,1.91238,2.00943,0.000664677,0.000664677,0.000664677
2,589.751,2.09417,1.56886,1.68728,0.61487,0.51762,0.57991,0.27049,1.83443,1.41775,1.53445,0.00131816,0.00131816,0.00131816
3,389.984,1.80117,1.28751,1.47065,0.65111,0.56159,0.61757,0.32397,1.64044,1.26874,1.41484,0.00195845,0.00195845,0.00195845
4,896.851,1.61815,1.14318,1.36129,0.74149,0.62837,0.7222,0.40297,1.48915,1.17004,1.318,0.0019406,0.0019406,0.0019406
5,1310.69,1.53162,1.06469,1.31056,0.77478,0.6416,0.74252,0.44107,1.4072,0.98943,1.26952,0.0019208,0.0019208,0.0019208
6,1689.84,1.44038,0.99446,1.26196,0.79212,0.6692,0.7729,0.46128,1.38909,0.91985,1.2452,0.001901,0.001901,0.001901
7,2072.22,1.37655,0.94344,1.2247,0.81466,0.691,0.79489,0.498,1.27488,0.86731,1.20434,0.0018812,0.0018812,0.0018812
8,2402.7,1.33242,0.90454,1.20786,0.82236,0.71488,0.8133,0.51227,1.2527,0.83811,1.19561,0.0018614,0.0018614,0.0018614
9,3034.42,1.30469,0.88076,1.18296,0.83951,0.71211,0.82226,0.53918,1.18984,0.79643,1.15798,0.0018416,0.0018416,0.0018416
10,3697.1,1.27056,0.85563,1.16843,0.8228,0.71337,0.8184,0.53478,1.20038,0.81849,1.16634,0.0018218,0.0018218,0.0018218
11,4215.42,1.23206,0.8253,1.14628,0.85393,0.73529,0.83871,0.55833,1.14646,0.75611,1.12744,0.001802,0.001802,0.001802
12,4583.82,1.2105,0.80516,1.13466,0.85085,0.73823,0.83867,0.55282,1.16318,0.74911,1.13274,0.0017822,0.0017822,0.0017822
13,4954.35,1.19117,0.79236,1.12862,0.85891,0.73391,0.84869,0.56978,1.13808,0.73835,1.12334,0.0017624,0.0017624,0.0017624
14,5515.47,1.17284,0.77306,1.1182,0.86916,0.74256,0.84589,0.57167,1.11571,0.71798,1.11971,0.0017426,0.0017426,0.0017426
15,5882.75,1.15665,0.7609,1.10988,0.869,0.76228,0.86101,0.59316,1.06359,0.69615,1.08667,0.0017228,0.0017228,0.0017228
16,7736.61,1.13642,0.75064,1.09627,0.86762,0.76505,0.86051,0.58396,1.08723,0.70713,1.10473,0.001703,0.001703,0.001703
17,400.735,1.12767,0.73949,1.09106,0.86549,0.77924,0.86912,0.60048,1.04293,0.69257,1.08166,0.0016832,0.0016832,0.0016832
18,812.48,1.11158,0.72496,1.08491,0.88054,0.7737,0.871,0.61123,1.00886,0.66811,1.06678,0.0016634,0.0016634,0.0016634
19,1316.31,1.08994,0.70906,1.07446,0.86737,0.77614,0.86869,0.60659,1.02736,0.66988,1.06964,0.0016436,0.0016436,0.0016436
20,1812.15,1.08129,0.70201,1.06768,0.87674,0.77405,0.87044,0.61315,1.01876,0.66149,1.06649,0.0016238,0.0016238,0.0016238
21,2260.22,1.07011,0.69552,1.06795,0.86365,0.76817,0.86784,0.61489,0.98698,0.6408,1.05855,0.001604,0.001604,0.001604
